レースコード,1=2=3,1=2=4,1=2=5,1=2=6,1=3=4,1=3=5,1=3=6,1=4=5,1=4=6,1=5=6,2=3=4,2=3=5,2=3=6,2=4=5,2=4=6,2=5=6,3=4=5,3=4=6,3=5=6,4=5=6
20240623TKN11,5.9,4.8,29.2,26.2,2.7,13.6,9.7,11.8,8.6,69.9,48.4,157.3,139.8,78.6,59.9,139.8,54.7,50.3,139.8,66.2
20240623TKN12,5.9,5.3,9.7,22.8,5.0,7.6,23.8,6.4,12.3,27.5,29.2,62.4,78.0,37.8,57.6,70.6,48.0,76.4,104.0,38.6
20240623TSU01,3.8,3.4,5.7,10.8,12.5,12.8,23.4,10.2,16.5,15.8,96.0,123.8,166.9,54.0,103.7,69.8,116.3,213.3,98.4,78.3
20240623TSU02,8.6,4.3,9.4,27.0,7.0,11.8,31.5,4.5,22.2,22.7,42.7,46.9,72.2,11.7,52.2,67.1,30.3,85.4,83.5,22.1
20240623TSU03,5.9,9.5,4.5,7.3,16.0,8.8,14.1,12.3,14.4,5.6,73.6,93.4,76.6,95.7,89.1,51.0,109.4,174.1,75.1,43.5
20240623TSU04,5.2,7.3,17.2,4.2,14.5,20.3,6.0,27.4,7.2,12.2,67.0,79.3,31.0,61.5,40.2,50.2,120.6,60.3,91.3,51.9
20240623TSU05,1.6,5.2,8.4,31.5,8.8,9.4,27.7,22.4,44.9,61.3,66.4,144.9,132.8,199.3,245.3,245.3,245.3,531.5,212.6,265.7
20240623TSU06,4.2,5.8,5.6,18.9,7.9,6.7,23.0,6.8,24.3,18.7,57.7,52.8,105.6,40.3,109.3,87.5,43.1,161.2,98.8,78.5
20240623TSU07,4.0,17.3,27.2,11.0,5.5,9.3,3.0,33.6,21.2,23.4,74.8,112.3,27.7,336.9,92.9,117.1,117.1,32.8,28.3,134.7
20240623TSU08,2.2,欠場,4.1,8.1,欠場,5.5,9.3,欠場,欠場,11.1,欠場,22.6,22.2,欠場,欠場,44.8,欠場,欠場,30.0,欠場
20240623TSU09,5.1,9.7,3.3,20.1,10.3,6.0,31.3,7.5,21.7,13.8,117.4,37.3,88.0,58.7,73.7,79.2,79.2,109.3,75.5,46.6
20240623TSU10,3.4,6.7,17.2,12.3,5.5,9.3,7.1,15.0,14.1,21.9,45.2,102.1,57.5,197.8,29.3,117.2,126.6,68.8,70.3,75.3
20240623TSU11,3.5,13.4,11.1,36.0,2.8,4.7,17.3,19.1,32.7,28.0,53.0,40.3,100.8,144.0,201.7,96.0,38.7,122.2,69.5,144.0
20240623TSU12,2.9,5.1,13.1,19.2,4.3,12.2,18.8,18.1,21.0,52.3,16.6,61.8,44.7,59.5,52.5,121.9,71.3,69.7,121.9,108.2
20240623SME01,3.0,5.6,9.3,22.7,8.1,11.1,56.0,18.3,77.4,120.4,8.1,11.3,57.0,22.3,59.6,81.3,24.7,116.1,135.5,110.2
20240623SME02,10.5,7.2,5.1,126.8,22.3,12.5,140.3,9.3,173.5,122.1,8.4,6.6,169.1,4.2,109.9,83.4,10.6,235.5,157.0,117.7
20240623SME03,12.1,9.8,9.2,39.1,5.4,6.5,44.4,5.1,26.2,18.8,34.0,43.4,111.1,27.9,75.6,66.9,9.1,37.8,26.9,13.8
20240623SME04,3.1,5.7,8.6,3.7,18.8,23.8,17.9,36.8,22.2,25.9,35.1,45.2,31.0,62.4,34.5,29.2,108.7,128.7,116.2,72.7
20240623SME05,15.5,11.1,81.0,3.3,17.5,72.4,5.5,70.7,2.5,38.2,37.6,98.7,42.7,121.5,22.0,150.5,99.8,25.1,129.9,106.5
20240623SME06,4.7,2.6,50.5,21.8,7.1,59.3,37.9,63.4,20.9,90.2,4.6,89.4,26.3,71.3,17.3,149.5,67.3,26.0,194.9,83.9
20240623SME07,3.5,8.2,27.5,43.6,2.5,6.1,19.7,24.0,54.2,90.2,18.4,56.2,92.0,95.7,105.4,173.8,26.1,58.2,74.4,118.8
20240623SME08,9.4,4.5,46.7,110.5,2.2,27.0,77.6,8.8,23.9,128.8,11.4,57.1,111.6,24.3,53.5,189.0,12.2,43.4,172.4,38.0
20240623SME09,2.8,5.1,12.0,6.6,8.7,20.1,14.2,31.7,21.8,52.5,19.1,34.4,30.8,59.5,30.4,81.8,63.3,72.4,119.1,90.4
20240623SME10,3.0,2.9,14.3,18.7,6.6,18.7,39.3,18.5,23.3,61.3,14.6,57.2,80.1,43.2,37.9,112.3,54.2,78.1,146.3,77.2
20240623SME11,4.6,2.4,5.6,8.0,16.1,26.6,48.6,14.7,16.9,33.4,39.3,106.1,89.8,57.5,34.5,110.9,175.8,183.7,223.8,67.2
20240623SME12,5.7,4.5,13.5,26.9,4.4,11.7,22.9,6.0,14.9,41.9,28.2,47.8,69.5,29.9,42.4,71.1,35.7,56.0,99.8,44.7
20240623NRT01,4.3,6.2,8.5,96.9,3.3,5.0,109.9,4.4,86.7,65.9,80.4,137.3,235.5,94.2,412.1,412.1,63.4,274.7,824.2,549.5
20240623NRT02,3.7,20.9,61.5,1.9,28.5,86.2,5.2,123.1,33.8,90.7,57.4,246.3,8.3,287.3,35.5,137.9,344.8,90.7,172.4,156.7
20240623NRT03,2.3,3.8,9.6,5.7,24.3,39.8,29.6,42.6,38.1,54.8,19.6,45.2,28.7,56.6,32.6,49.6,139.3,113.2,150.9,95.3
20240623NRT04,11.3,5.2,3.2,48.0,14.1,9.4,46.1,3.0,47.0,15.9,87.8,87.8,133.0,38.4,160.5,78.9,89.5,245.0,116.4,50.6
20240623NRT05,2.7,11.8,15.6,6.3,12.7,11.4,6.4,32.3,15.6,21.0,43.5,52.3,22.5,121.6,58.2,73.8,78.0,51.0,41.3,46.9
