レースコード,レース場,レース回,天気,風向,風速,波の高さ,スタンド距離,枠,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター2連対率,ボート2連対率,展示タイム,順位,結果,3連複_結果,全国勝率_Zスコア,全国2連対率_Zスコア,当地勝率_Zスコア,当地2連対率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
20240706BWK09,びわこ,09R,晴,右向かい風,4.0,4.0,47.0,6,54,B1,5.0,34.0,3.5,12.5,41.18,35.42,6.77,6,0,0,-1.1667667023938952,-0.8666370736170245,-1.6910926292604862,-1.8705515171684828,0.6877968116256576,0.953005806843727,-0.39860326829989046
20240706BWK10,びわこ,10R,曇り,右向かい風,3.0,3.0,47.0,6,53,B1,5.41,36.84,4.13,20.83,36.73,30.0,6.84,6,0,0,0.21126862323881376,0.48235211957723145,-0.3007041631983129,-0.15936759024143218,-0.014000752626969147,-1.3533437257339287,0.9418007210956012
20240706BWK11,びわこ,11R,曇り,左追い風,5.0,5.0,47.0,6,50,A2,6.17,46.43,6.63,37.5,48.94,42.31,6.96,4,0,0,0.6685828789518548,0.8741428515237304,0.8603801785759463,0.3443981686362711,1.2497991003095417,0.23763446484078218,0.307147558416968
20240706BWK12,びわこ,12R,曇り,左横風,2.0,2.0,47.0,6,56,B1,4.01,17.24,1.33,0.0,20.83,34.04,6.94,5,0,0,-1.535960596135951,-1.5817977954373819,-1.4759294167789605,-1.257206620183699,-0.5694975799225418,0.3886169743059942,0.9393364366277329
20240706TKN01,常滑,01R,晴,右追い風,1.0,0.0,40.0,6,51,B1,5.36,38.89,0.0,0.0,32.17,42.86,6.78,4,0,0,0.2876071626176486,0.6488930565507195,-1.792949249185759,-1.5711703125688685,0.6450133015448148,0.3985245222356885,-0.5494837278298114
20240706TKN02,常滑,02R,晴,追い風,2.0,1.0,40.0,6,54,B1,4.66,29.73,5.09,27.94,38.57,28.57,6.79,5,0,0,0.20548320393923483,0.3708719032088457,0.09056004944764272,-0.15993360671368212,1.4263654245767363,0.32522592434419767,-0.3157230126766835
20240706TKN03,常滑,03R,晴,右横風,1.0,0.0,40.0,6,54,B1,4.84,29.07,4.97,30.3,26.87,28.57,6.81,5,0,0,-0.13884986580573588,-0.15593666807421455,0.4133621219563781,0.6624725512452473,-1.5570182462523257,-0.21106232899179697,1.5513435037626844
20240706TKN04,常滑,04R,晴,右追い風,1.0,0.0,40.0,6,52,A2,5.31,32.08,6.64,48.0,31.91,33.33,6.86,4,0,0,-0.3464533189780851,-0.3892670580497938,0.8494162176030142,0.4948673212050456,-0.5341251999038881,0.2346219749800754,0.6407097870320733
20240706TKN05,常滑,05R,晴,右追い風,2.0,1.0,40.0,6,52,A1,7.17,55.77,6.68,48.0,37.59,8.33,6.67,1,1,1,1.3156553365152701,1.25838665417651,0.9709430386596255,0.9353501437654977,0.763551685579361,-0.5338129560012996,-1.8475152755791875
20240706TKN06,常滑,06R,晴,右追い風,2.0,1.0,40.0,6,54,A1,7.18,48.65,6.5,21.43,27.08,0.0,6.75,1,1,1,1.5379850009055445,1.1564013198628342,1.662841416361416,-0.24879209078044182,-1.5518973027193521,-1.4056278220085414,-1.6449901243968965
