レースコード,レース場,レース回,風向,風速,波の高さ,スタンド距離,級別,3連複_結果,全国勝率_Zスコア,全国2連対率_Zスコア,当地勝率_Zスコア,当地2連対率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
20240722KJM06,5,5,0,1.0,1.0,43.0,3,0,-1.9518670466152424,-1.8085346618091156,-1.7537305241997174,-1.5221293252073451,-0.4174604018022745,0.933275590000458,0.7595545253127436
20240722KJM07,5,6,0,5.0,3.0,43.0,2,0,-1.107605296998353,-1.147364264337098,-0.0498640977640714,-0.3049159531432841,-1.307300073343483,0.7948743640756093,0.0248544067911604
20240722KJM08,5,7,3,4.0,3.0,43.0,2,1,-0.407670716549845,-0.1067167186035716,0.317253737177109,0.0955823169244805,1.3662568335781804,-0.3408630995888733,-0.1903467469067238
20240722KJM09,5,8,0,4.0,3.0,43.0,2,1,0.2179226816790601,0.2616157950954016,0.5599181125740342,0.7707037399332535,0.8627290866427193,0.5671694620313843,-0.1388085830776748
20240722KJM10,5,9,0,2.0,3.0,43.0,1,1,0.7757975889101961,0.7535754745724217,0.7964418782484551,1.1831747039742635,1.4515468590927934,0.4565252132576078,-0.3761773969316317
20240722KJM11,5,10,0,2.0,3.0,43.0,0,0,0.4697130031243886,0.4367762963552857,0.636777718196117,0.2577972197370502,-0.1819786133516186,-0.646489774028166,-1.987866419864713
20240722KJM12,5,11,0,2.0,3.0,43.0,0,1,0.0748961612962463,0.4403264930898937,-0.3259009937226169,-0.7150260872484976,-0.3587056850956941,-0.1492678152033879,-1.2627304498491845
20240722MRG01,3,0,6,2.0,2.0,42.0,2,1,0.1467906214298685,0.1847884750818876,0.4526766267797505,-0.2909445787596075,-0.8548382476236552,-1.4005666083001045,-0.5326236412913232
20240722MRG02,3,1,6,2.0,2.0,42.0,2,0,-0.431036856406035,-0.5249092655488145,0.5761850453305005,0.3151258737819446,-0.1442198896932864,-0.5715476066494082,0.0
20240722MRG03,3,2,6,2.0,2.0,42.0,2,0,-0.5949223346535779,-0.4246538934474559,-1.91214677002136,-1.5077077638723348,-1.1306505194889072,-0.408248290463863,1.5690511463005532
20240722MRG04,3,3,6,2.0,2.0,42.0,3,0,0.5489497683839435,0.5793198950387632,0.5322689180399862,0.4405415643188203,1.0352371789118473,-1.0592107622801352,-1.4957060089885357
20240722MRG05,3,4,5,3.0,3.0,42.0,2,0,-0.3837751701880336,-0.0513240087900813,-0.407832513238711,-0.0853972606239315,-0.2826985579797892,1.3737951494774063,0.4921870193488457
20240722MRG06,3,5,5,3.0,3.0,42.0,0,1,0.8441885616810986,0.8681674267702373,1.2847979585356208,0.5355516601273017,1.9014324076276468,-1.093283067955819,-0.7985957062499328
20240722MRG07,3,6,5,2.0,2.0,42.0,2,0,-0.2024331849033542,-0.2067047829062938,0.0042785831383843,-0.6182431426430284,0.1647472372406624,-0.6358383670736646,-0.0353996162702261
20240722MRG08,3,7,5,2.0,2.0,42.0,1,1,0.6379739459099916,0.0507493014970336,0.3975015597415264,0.3899808128562024,0.693881173172049,0.4952125184075479,-0.8475793795260076
20240722MRG09,3,8,6,1.0,1.0,42.0,2,0,-1.0884277600397434,-1.2735087554412683,0.0929691298341233,0.468719094764265,-0.3717362457063883,-0.611639730059137,-1.6220959698109634
20240722MRG10,3,9,3,2.0,2.0,42.0,1,1,0.1014135596655518,0.0183419808048574,0.3950881016101341,1.1179727212887975,-0.8875006375074456,-0.6454972243679029,0.1259641667797395
20240722MRG11,3,10,8,1.0,1.0,42.0,0,1,0.1343958676996579,0.1838441269188274,-0.481167996714365,-0.7744726572274048,-0.5826565304654642,-0.3711784737607325,1.7690759253434116
20240722MRG12,3,11,8,1.0,1.0,42.0,0,0,0.3160033638831548,0.3596799212986281,0.1499529519481415,0.1825462810711893,1.1123911201159318,-1.1235525032829163,1.3269776053940363
20240722AMG01,10,0,0,5.0,3.0,49.1,2,1,0.2620133909248361,0.130891542770416,0.4845391790837025,0.2805602339417445,-1.160252879781498,-0.991573509710397,-1.485667259923006
20240722AMG02,10,1,1,3.0,0.0,49.1,2,1,-1.1548379354275975,-1.3204125151340549,-1.2008796050403878,-0.810861660460548,0.8722811900460219,0.1740085691121992,0.0598041629930807
20240722AMG03,10,2,0,3.0,0.0,49.1,1,1,0.2785158492053072,0.0223217197315767,0.4934593544503976,0.6329952024170087,0.9293396882775954,0.8835632128144758,-0.7741129997162018
20240722AMG04,10,3,1,1.0,0.0,49.1,2,1,-0.8549571523612131,-0.8466542883818232,0.1129538688463818,0.0691478846918098,0.6527258925325793,0.5781899672788732,1.2849913420490269
20240722AMG05,10,4,0,4.0,0.0,49.1,2,1,-1.148726125713684,-1.140656059745637,-0.4872001418480536,-0.7506984212159203,-1.0093610498406915,-0.9241501358331315,1.697336849583014
20240722AMG06,10,5,0,4.0,0.0,49.1,2,0,-1.6271839764441505,-1.509919577985766,-1.4818011751624514,-1.1524555097679317,1.0477239762861066,-0.0795300855570641,1.8533643326646851
20240722AMG07,10,6,1,2.0,0.0,49.1,1,1,0.4210240532194879,0.4773622421771863,0.4464160693381402,0.3382926435288308,-1.223620518233715,1.7694612079911938,0.1107018606925288
20240722AMG10,10,9,1,3.0,0.0,49.1,0,1,0.8312599642899375,0.6862671462566966,-1.171041841319724,-1.0112203926836023,-1.4034542654436473,-0.6390923444689128,-0.4777603973737835
20240722AMG11,10,10,0,3.0,0.0,49.1,2,0,-1.2421815698246774,-1.2539806361094836,-1.9572222625268931,-1.745228521839029,0.4903059754864983,-1.289302031154237,0.7001400420140029
20240722SME01,4,0,3,4.0,2.0,45.0,3,0,-1.8383573340195951,-1.6166655342316116,-1.8055406900339597,-1.6169910501453697,-1.5794875458757742,0.3949935042198966,-0.1417392084583446
20240722SME02,4,1,3,5.0,2.0,45.0,2,0,0.3283755016492925,0.1696168243847125,0.6127989657086328,0.595658365835639,-0.4397151197212612,1.3479270980007898,-0.6503936072346207
20240722SME03,4,2,7,0.0,1.0,45.0,0,1,1.3544525077623129,1.3922593814005322,1.3069101745437994,1.7781855477748676,-0.5271193459986043,1.4304471731602817,-0.9036961141150498
20240722SME04,4,3,4,2.0,1.0,45.0,2,0,-0.5562659992143328,-0.4746078973144506,-0.6658248713637657,-0.2695294462985751,0.4524335659095841,0.6468610237218165,1.2329235590711167
20240722SME05,4,4,7,0.0,1.0,45.0,2,1,-0.9225957707696828,-0.5745634098117538,-0.51750619840012,-0.459566679574649,1.6960561389689306,-0.6460903852265668,-1.3870232926631414
20240722SME06,4,5,7,0.0,1.0,45.0,2,1,0.4966149026282765,0.4526269496250464,0.6241861626717046,0.602974090519219,-0.8380296999021134,0.1033231553017655,0.1219875091185871
20240722SME07,4,6,3,3.0,1.0,45.0,2,1,0.1559372024124563,0.5276599097763279,0.0978958599660379,-0.0181743207331823,0.9758307635234204,-0.8985747520456119,-1.100963765126378
20240722SME08,4,7,6,2.0,1.0,45.0,2,0,-0.6488331438232372,-0.4864138207479017,0.3089962302175094,0.2444801201052212,-1.2795306394208563,-1.7036511931385034,0.3685219419917007
20240722SME09,4,8,8,3.0,1.0,45.0,0,1,0.8693898535709165,0.8316151291907337,0.4737589195066984,-0.1512076332718005,-0.1147677809579459,1.8085743578808635,-0.725476250109994
20240722SME10,4,9,7,0.0,1.0,45.0,0,1,1.405978709364661,1.053262282398715,1.0603172410670656,-0.1368126601225571,-1.249682240058816,-0.1958854651375733,-0.0694042915388086
20240722SME11,4,10,7,0.0,1.0,45.0,2,1,-1.4665566958020866,-1.4275824557596954,-1.6846444023984566,-1.6465038989983127,0.2729149458307163,0.6595453688787241,1.6449901243968696
20240722SME12,4,11,7,0.0,1.0,45.0,2,0,-0.5816040662479872,-0.5933273884327216,-1.0711715377284374,-0.8615495461897463,-1.3700974537324164,1.1795450543843773,-0.7423651567351292
20240722MKN01,1,0,4,2.0,2.0,45.0,2,0,0.5665823879515333,0.595225659140943,0.5037312601005294,0.4455664970857118,1.7786156200434955,0.4155650832434516,-1.2329294150634629
20240722MKN02,1,1,4,2.0,2.0,45.0,2,0,0.14567310813558,0.1914226680446312,-1.4007454882063628,-1.1447270853270726,-0.9288371695427216,-0.7320839591046749,-0.6324555320336691
20240722MKN03,1,2,4,2.0,2.0,45.0,2,0,-0.1741462054901988,-0.270800040747716,0.1843687363373245,0.339856463276624,-1.455924074676408,-0.9109462805405996,1.4524822344353103
