レースコード,レース場,レース回,風向,風速,波の高さ,スタンド距離,級別,3連複_結果,全国勝率_Zスコア,当地勝率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
20240814NRT05,23,4,5,2.0,2.0,45.0,2,1,0.9746613553178444,0.7851296618929547,-1.1270323454761435,1.294453477797234,0.5669467095138296
20240814NRT06,23,5,5,2.0,2.0,45.0,2,1,-0.6824573136300073,-1.2788137383045384,-0.5665830832833136,1.0131014739707829,-0.5096471914376154
20240814NRT07,23,6,5,3.0,3.0,45.0,2,1,-0.3782360807914906,-0.5575390181654696,-0.4991150280932068,0.4241663228920806,1.1636866703140747
20240814NRT08,23,7,5,3.0,3.0,45.0,2,0,-0.4552118620292388,-0.1425600495241064,1.1796831358440527,-0.4395885077153701,-0.8455116894049831
20240814NRT09,23,8,5,2.0,2.0,45.0,1,0,0.0457556018727318,0.0481134428851605,-0.6032274779635408,-1.1193642135094697,0.4602550748156526
20240814NRT10,23,9,5,3.0,3.0,45.0,0,0,0.4497643578506068,0.7044064827760166,-0.2943502789227964,-0.6961730086340631,-0.3011389982827913
20240814NRT11,23,10,5,2.0,2.0,45.0,0,1,0.9263890268858488,0.6494452109588754,0.8652139349769771,-0.9678782529242784,0.8796644381862577
20240814NRT12,23,11,5,2.0,2.0,45.0,0,0,0.9510409700893844,-0.3825013352344882,1.2538089250219069,-1.001229914857361,-1.281798486764988
20240814AMG01,10,0,3,3.0,0.0,49.1,2,0,0.3510789780447896,0.2140964743832243,-0.4188207100344192,-0.9681088491754892,0.6324555320336858
20240814AMG02,10,1,4,2.0,0.0,49.1,2,0,-0.7997793453778339,-0.9272674377438268,-0.2491532793046575,-0.5259994467926196,-1.6449901243969065
20240814AMG03,10,2,5,3.0,0.0,49.1,0,1,1.3001862636860684,0.8555948420743176,0.6968240731226988,-1.4797858723327235,0.905821627315695
20240814AMG04,10,3,7,0.0,0.0,49.1,0,1,1.4966340099832254,1.5844679759884106,0.7361405739443224,0.4162738847924863,0.0399936015355968
20240814AMG05,10,4,7,0.0,0.0,49.1,1,0,0.4390576689546263,0.2545680838253625,0.9366609279582456,-0.9304898380991647,-0.0515162868728222
20240814AMG06,10,5,5,3.0,0.0,49.1,2,0,-0.7222628367150945,-0.1620614702077824,-0.0607291304420211,0.7646096221934868,0.0
