レースコード,レース場,レース回,風向,風速,波の高さ,スタンド距離,級別,3連複_結果,全国勝率_Zスコア,全国2連対率_Zスコア,当地勝率_Zスコア,当地2連対率_Zスコア,モーター2連対率_Zスコア,ボート2連対率_Zスコア,展示タイム_Zスコア
20240312ASY06,20,5,1,3.0,3.0,50.0,2,0,-0.418377969657848,-0.5120531401760607,0.0215155728949793,-0.8855251336299835,-0.3006746944217908,0.1312052499364853,-0.6106784561416635
20240312ASY07,20,6,1,4.0,4.0,50.0,2,0,-1.640237983132501,-1.6826120953973327,0.5067629781399959,0.0585234785938466,0.2675774098036481,0.6325572595662009,-0.0747853004494383
20240312ASY08,20,7,1,2.0,2.0,50.0,2,0,-0.4309444484282221,-0.2715673260258889,0.5340989026213634,0.7503979034299962,-1.3661437559936622,-0.4061337459674452,0.7443314476960424
20240312ASY09,20,8,0,4.0,4.0,50.0,2,1,-0.9578350086259036,-1.0127002817162454,-0.1253805300495932,-0.252779950853027,0.4604865384915859,-1.7325533628063563,-0.759554525312726
20240312ASY10,20,9,0,4.0,4.0,50.0,1,0,-0.2572395311223521,-0.3160756640760444,-0.089415824499961,0.5977209502903967,0.129998651903682,0.6151908168386795,0.230632802007215
20240312ASY11,20,10,1,3.0,3.0,50.0,0,1,0.3519610150973746,-0.0168357929622784,1.2562980026780453,1.020593962190537,0.727421990271928,1.043091568208614,-1.1409652938638282
20240312ASY12,20,11,0,4.0,4.0,50.0,1,1,-1.163163847915501,-1.1827357363252264,0.4519586565111561,0.1749629876480014,-0.1535156755318243,-0.6433774896568358,-1.2247448713915765
20240312WKM01,21,0,5,4.0,4.0,41.0,2,1,1.462196227853675,1.154979480183601,1.2014000594173957,1.106283464659005,0.3408944248577888,-1.497341141617462,1.1409652938638497
20240312WKM02,21,1,5,4.0,4.0,41.0,2,0,-0.9512106706736138,-0.8031613364276383,-0.3582075348373285,-0.3565012753918609,0.8266526671761222,-0.8853067812105848,-0.6058937161755578
20240312WKM03,21,2,5,2.0,2.0,41.0,2,0,-0.5156153621991642,-0.3627386975079813,0.3657046022843938,0.0251647563626267,-0.7949038530549779,-0.0658822755387538,0.5661385170723267
20240312WKM04,21,3,5,2.0,2.0,41.0,0,1,1.2240045884773687,0.9925832563599002,1.1597225588258444,0.9902412794401296,-0.5159915263563819,-0.0951353930794684,-0.0303448564517249
20240312WKM05,21,4,5,2.0,2.0,41.0,1,1,0.6315071939498093,0.5660528590731542,0.4316393338256328,0.4293436449688391,-1.311048920578526,1.65769708078004,-0.4529108136578197
20240312WKM06,21,5,5,2.0,2.0,41.0,2,0,-1.099422870486343,-1.0862633766848786,0.0178847843698485,-0.2689018733474911,1.1337602194075893,-0.0377451699021429,-0.5459427881935415
20240312WKM07,21,6,5,3.0,3.0,41.0,2,0,-1.0152397445544252,-1.0771321390696589,0.0834812465922757,-0.2945541611680278,-1.9094598261786824,0.6948034126040229,0.7905694150420812
20240312WKM08,21,7,5,2.0,2.0,41.0,2,0,-0.3656790168208774,-0.0314350879379851,0.5033799432627575,0.8715215261026323,-0.7860216621550191,0.2381223542506222,0.6824803789711499
20240312WKM09,21,8,8,4.0,4.0,41.0,2,0,-1.018045058041064,-0.4621167387861639,-1.373713415721501,-1.3401146031169604,0.4531683122962537,-0.8531228011705239,0.8144797069187407
20240312WKM10,21,9,8,4.0,4.0,41.0,2,0,-0.6049939127270728,-0.8326944972889059,-0.6837226068409403,-0.5438384765825838,0.1931460730915637,-1.0082660410320607,-0.8403904506132398
20240312WKM11,21,10,8,2.0,2.0,41.0,2,1,-0.8385784271069048,-1.2135741020062445,-0.498742361674575,-0.6992509488179987,-1.358595865011245,-1.455162536891246,0.9682458365518524
20240312WKM12,21,11,6,1.0,1.0,41.0,2,0,-0.4643082933460168,-0.3887641761149065,0.26192654470784,0.1570130473466519,0.4320868437368202,0.1256831881949525,0.2613541867446446
20240312MYJ01,9,0,4,1.0,1.0,40.0,1,1,-0.1496952008735327,-0.2299409301080412,0.8658250707460696,1.3171884626226709,1.116066869483527,-0.4877896676056449,-1.3740107731454396
20240312MYJ02,9,1,4,1.0,1.0,40.0,1,1,-1.469281047826531,-1.667706753512166,-1.2291841487773467,-0.9214137001319036,-0.1933417248093444,-1.085669185759964,-0.7669649888473562
20240312MYJ03,9,2,4,2.0,2.0,40.0,0,0,0.2979994293874817,0.1008124935016349,0.5237565134514667,1.0627888966284749,0.1237862591155827,-1.1352925097225115,0.6175402271944904
20240312MYJ04,9,3,3,1.0,1.0,40.0,1,0,-1.8373031772389832,-1.9410803244510584,-0.9512096184759004,-0.6750208030966248,-1.001302087484206,-0.1750023764568125,1.792842914001604
20240312MYJ05,9,4,3,2.0,2.0,40.0,1,1,-1.1454208174921443,-1.2260279911534255,-1.9314297724271383,-1.85809162041111,1.1039784295802904,-0.7546568875675422,0.5400617248673251
20240312MYJ06,9,5,6,2.0,2.0,40.0,1,0,0.1198743661690617,1.1890734591995762,-1.2761704101048983,-1.1939674231181645,-0.6701681278070148,-0.1204004778636194,-0.9507653770830536
20240312MYJ07,9,6,8,1.0,1.0,40.0,1,1,-0.6739151162686885,-0.7019354506332375,-1.437176860357234,-1.4454739826115577,0.7504609971685903,-1.1750460434297725,0.1825741858350501
20240312MYJ08,9,7,8,2.0,2.0,40.0,1,0,-1.162226291462762,-1.0720959937317367,-1.43043398811003,-1.1099189666236402,-0.0788782048150534,0.7060441343015409,-0.5535093034625549
20240312MYJ09,9,8,5,5.0,4.0,40.0,0,0,0.6170731322628028,0.0361226636371369,0.5257210949145797,0.5542447765714636,-0.9724240431177702,-0.6426802220403955,0.3479201336050424
20240312MYJ10,9,9,6,3.0,3.0,40.0,0,1,-0.5201071588601407,-0.4699090598817551,0.6352199285071028,0.7814386979796928,0.9574856302040392,-0.2879184559903437,-0.1002006020070142
20240312MYJ11,9,10,6,3.0,3.0,40.0,0,0,0.2876098056123042,-0.4719488485094549,0.6842536908405428,0.7463490887092732,0.0331151890577397,-0.6666051177890314,-0.4023313355893548
20240312MYJ12,9,11,6,3.0,3.0,40.0,1,0,0.0682147157551312,1.1318265751024854,0.3988700891018166,0.7005288993811807,1.098692135962211,-0.5418149686579992,0.4866642633922763
20240312KJM01,5,0,2,2.0,3.0,43.0,2,1,0.5516478907155513,0.4025216523386732,0.6043928464610534,0.3126016345097387,-0.3703117037530345,-0.7244584993157501,0.0
20240312KJM02,5,1,2,3.0,3.0,43.0,2,1,0.3599664954151422,-0.5628384240121167,0.6058547663682873,0.1474020421376621,-1.2385017885052445,0.4641374192741819,-0.7823444332753543
20240312KJM03,5,2,2,2.0,3.0,43.0,2,0,-1.2667206189958489,-0.7464547958891883,-0.0507844551259582,-0.1953165105167011,1.1977416308325397,0.5456941036618475,-1.1902380714238052
